                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.50469,                0.53752,                 1.0095,                0.91253,                0.86527,                0.91291,                0.68418,                0.98535,                0.72214,                 1.3453,             0.00058725,             0.00058725,             0.00058725
                    122,                0.49692,                0.56234,                0.99622,                0.92012,                0.87481,                0.93063,                0.74877,                 0.9655,                0.67833,                 1.3251,             0.00058017,             0.00058017,             0.00058017
                    123,                0.46445,                0.54897,                0.96383,                0.86843,                0.94128,                 0.9291,                0.71248,                0.96704,                0.69833,                 1.3428,              0.0005731,              0.0005731,              0.0005731
                    124,                0.45489,                0.50389,                 0.9743,                 0.9038,                0.93983,                0.94257,                0.71382,                0.96775,                0.70989,                 1.3556,             0.00056603,             0.00056603,             0.00056603
                    125,                 0.4271,                0.49024,                0.97063,                0.94838,                0.94396,                0.99056,                 0.7177,                0.99057,                0.70399,                 1.3783,             0.00055895,             0.00055895,             0.00055895
                    126,                0.48425,                0.52279,                0.95093,                 0.9086,                0.87282,                0.93717,                 0.7222,                 1.0541,                 0.6803,                 1.4499,             0.00055188,             0.00055188,             0.00055188
                    127,                0.47004,                0.48793,                0.99211,                0.83128,                0.91101,                0.93426,                  0.712,                 1.1145,                0.68121,                 1.4992,             0.00054481,             0.00054481,             0.00054481
                    128,                0.46923,                0.52112,                 1.0013,                0.91419,                0.86774,                0.93838,                0.68921,                 1.1522,                0.75704,                  1.524,             0.00053773,             0.00053773,             0.00053773
                    129,                0.46441,                0.50861,                0.95037,                 0.9218,                0.80673,                0.93197,                0.69968,                 1.1745,                0.80284,                 1.5425,             0.00053066,             0.00053066,             0.00053066
                    130,                0.43494,                 0.4972,                0.95482,                0.92356,                0.80775,                0.90954,                0.66692,                 1.1461,                0.77535,                 1.5031,             0.00052359,             0.00052359,             0.00052359
                    131,                 0.4422,                0.47711,                 0.9561,                0.92946,                0.84709,                0.93599,                0.66758,                 1.1524,                0.76583,                 1.4929,             0.00051651,             0.00051651,             0.00051651
                    132,                0.43691,                0.46318,                0.96705,                0.86423,                0.94164,                0.95409,                0.71557,                 1.1482,                0.75989,                 1.4726,             0.00050944,             0.00050944,             0.00050944
                    133,                 0.3872,                0.46488,                0.91499,                 0.9262,                0.91004,                0.98333,                0.70526,                  1.098,                 0.7778,                  1.441,             0.00050236,             0.00050236,             0.00050236
                    134,                0.40386,                0.44772,                0.92868,                0.88273,                0.95007,                0.97763,                0.71341,                 1.0622,                0.72647,                 1.4058,             0.00049529,             0.00049529,             0.00049529
                    135,                0.41556,                0.45274,                0.95957,                0.96759,                0.89588,                0.97867,                0.73157,                 1.0292,                0.70301,                 1.3602,             0.00048822,             0.00048822,             0.00048822
                    136,                0.47142,                0.50979,                0.98361,                0.90088,                 0.9909,                0.98574,                0.74872,                0.97525,                0.69278,                 1.3308,             0.00048114,             0.00048114,             0.00048114
                    137,                0.43988,                0.48784,                0.98234,                0.87215,                0.97842,                0.98207,                0.75138,                0.96123,                0.69074,                 1.3664,             0.00047407,             0.00047407,             0.00047407
